BookingID,BookingDate,CheckInDate,HotelName,Region,City,RoomType,CustomerType,BookingSource,MealPlan,Guests,NightsStayed,BookingLeadDays,RoomRate,DiscountPercent,ExtraServices,TotalBookingValue,PaymentMethod,BookingStatus,CustomerRating,Performance_Score
HB1030,13-02-2025,30-03-2025,Crown Plaza Residency,EAST,Bhubaneswar,Deluxe,Leisure,Booking Portal,Room Only,1,7,45,5206,5,4000,38620,Cash,Confirmed,4.4,0.81544
HB1031,16-09-2025,02-10-2025,Crown Plaza Residency,EAST,Patna,Deluxe,Family,Booking Portal,Breakfast,4,4,16,5720,5,0,28936,UPI,Checked-in,4.3,0.691232
HB1032,20-07-2025,22-08-2025,Royal Orchid Suites,SOUTH,Kochi,Standard,Leisure,Website,Breakfast,3,2,33,2261,0,0,7222,Credit Card,Cancelled,3.2,0.342664
HB1033,16-10-2025,11-02-2026,City Central Hotel,SOUTH,Chennai,Family,Business,Booking Portal,Breakfast,5,5,118,5102,10,500,34709,Credit Card,Cancelled,3.9,0.728508
HB1034,24-12-2025,27-12-2025,City Central Hotel,EAST,Guwahati,Standard,Business,Booking Portal,Half Board,4,3,3,4155,0,500,23765,Cash,Confirmed,4.2,0.62118
HB1035,03-06-2025,07-07-2025,Blue Bay Resort,CENTRAL,Bhopal,Standard,Family,Travel Agent,Breakfast,4,3,34,2323,15,4000,15324,Credit Card,Confirmed,4.2,0.519888
HB1036,14-08-2025,21-09-2025,City Central Hotel,EAST,Guwahati,Suite,Family,Booking Portal,Full Board,3,3,38,9551,0,1000,41353,UPI,Checked-out,5,0.896236
HB1037,26-11-2025,13-12-2025,Metro Heights,EAST,Guwahati,Standard,Leisure,Booking Portal,Half Board,2,2,17,3981,0,1000,12562,Debit Card,Checked-in,4.2,0.486744
HB1038,04-10-2025,09-10-2025,Crown Plaza Residency,NORTH,Lucknow,Family,Leisure,Booking Portal,Room Only,2,2,5,5366,5,500,10695,Credit Card,Cancelled,3.2,0.38434
HB1039,17-04-2025,19-06-2025,Pearl Garden Hotel,NORTH,Jaipur,Deluxe,Business,Travel Agent,Breakfast,1,2,63,5144,0,1000,12188,UPI,Cancelled,4.2,0.482256
HB1040,03-01-2025,24-04-2025,Urban Nest Hotel,SOUTH,Kochi,Deluxe,Family,Website,Room Only,4,5,111,3526,5,500,17248,Credit Card,Confirmed,4,0.526976
HB1041,13-01-2025,07-04-2025,Green Valley Inn,WEST,Goa,Deluxe,Couple,Website,Breakfast,2,3,84,5216,10,1500,18283,Credit Card,Checked-out,4.8,0.603396
HB1042,16-10-2025,08-12-2025,Sunrise Palace,SOUTH,Chennai,Family,Family,Website,Breakfast,2,1,53,5934,0,0,6834,Debit Card,Confirmed,5,0.482008
HB1043,08-08-2025,22-10-2025,The Palm Residency,CENTRAL,Nagpur,Deluxe,Leisure,Walk-in,Room Only,4,5,75,3790,10,2500,19555,Debit Card,Checked-out,3.1,0.48266
HB1044,31-03-2025,14-04-2025,Green Valley Inn,WEST,Pune,Deluxe,Leisure,Travel Agent,Room Only,3,2,14,3687,5,0,7005,Credit Card,Checked-in,4.3,0.42806
HB1045,30-09-2025,09-10-2025,Green Valley Inn,NORTH,Chandigarh,Family,Leisure,Booking Portal,Room Only,2,3,9,6883,20,1500,18019,UPI,Cancelled,4,0.536228
HB1046,27-12-2025,07-04-2026,The Palm Residency,CENTRAL,Raipur,Standard,Couple,Travel Agent,Half Board,2,2,101,2522,10,500,8640,Credit Card,Checked-in,3.7,0.39968
HB1047,23-01-2025,27-03-2025,Royal Orchid Suites,CENTRAL,Bhopal,Suite,Leisure,Mobile App,Breakfast,2,3,63,11448,5,500,35827,Debit Card,Cancelled,3.5,0.709924
HB1048,19-08-2025,15-09-2025,The Palm Residency,CENTRAL,Nagpur,Deluxe,Business,Booking Portal,Breakfast,2,4,27,3642,0,1500,19668,UPI,Confirmed,4.2,0.572016
HB1049,04-08-2025,25-09-2025,Lakeview Grand,EAST,Bhubaneswar,Suite,Leisure,Booking Portal,Room Only,4,2,52,7325,0,1000,15650,Net Banking,Checked-out,5,0.5878
HB1050,30-10-2025,28-01-2026,Golden Sands Hotel,EAST,Guwahati,Deluxe,Business,Walk-in,Breakfast,2,6,90,4383,5,1000,31383,Debit Card,Confirmed,4.6,0.744596
HB1051,02-04-2025,03-05-2025,Metro Heights,CENTRAL,Raipur,Deluxe,Family,Walk-in,Half Board,2,3,31,5922,20,500,20113,Credit Card,Confirmed,4,0.561356
HB1052,04-03-2025,28-06-2025,City Central Hotel,EAST,Kolkata,Standard,Leisure,Booking Portal,Room Only,4,3,116,2389,0,1500,8667,Debit Card,Checked-out,4.6,0.472004
HB1053,26-06-2025,25-07-2025,Golden Sands Hotel,SOUTH,Kochi,Standard,Business,Travel Agent,Breakfast,3,3,29,1822,10,0,8969,Net Banking,Cancelled,3.6,0.395628
HB1054,30-07-2025,30-09-2025,Silver Oak Resort,NORTH,Delhi,Deluxe,Family,Website,Half Board,2,2,62,2899,5,1000,10108,Credit Card,Confirmed,3.4,0.393296
HB1055,21-09-2025,20-10-2025,Royal Orchid Suites,WEST,Ahmedabad,Deluxe,Leisure,Mobile App,Breakfast,4,1,29,4346,5,1500,7429,Credit Card,Cancelled,4.4,0.441148
HB1056,02-04-2025,22-07-2025,Golden Sands Hotel,SOUTH,Hyderabad,Deluxe,Family,Mobile App,Breakfast,4,4,111,5470,10,1500,28392,Net Banking,Cancelled,2.6,0.548704
HB1057,26-03-2025,14-04-2025,Lakeview Grand,CENTRAL,Indore,Deluxe,Leisure,Website,Breakfast,4,1,19,5401,20,1000,7121,UPI,Checked-in,3.7,0.381452
HB1058,08-12-2025,26-03-2026,Lakeview Grand,NORTH,Lucknow,Deluxe,Couple,Mobile App,Half Board,4,1,108,4116,20,1500,8393,Credit Card,Checked-out,4.6,0.468716
HB1059,04-01-2025,30-01-2025,Crown Plaza Residency,NORTH,Jaipur,Deluxe,Family,Website,Room Only,2,3,26,3535,0,2500,13105,Net Banking,Confirmed,3.1,0.40526
HB1060,14-05-2025,13-08-2025,Sunrise Palace,EAST,Kolkata,Suite,Business,Website,Room Only,3,3,91,10158,0,2500,32974,Net Banking,Checked-out,4.6,0.763688
HB1061,09-10-2025,07-11-2025,Mountain View Resort,SOUTH,Bengaluru,Standard,Business,Booking Portal,Room Only,2,2,29,2871,0,1000,6742,UPI,Checked-out,4.3,0.424904
HB1062,31-12-2025,17-04-2026,Green Valley Inn,WEST,Mumbai,Standard,Leisure,Travel Agent,Room Only,4,2,107,2110,10,500,4298,Debit Card,Checked-out,4.1,0.379576
HB1063,02-10-2025,11-01-2026,The Palm Residency,SOUTH,Hyderabad,Suite,Couple,Booking Portal,Room Only,4,1,101,7253,25,500,5940,UPI,Confirmed,4.8,0.45528
HB1064,23-05-2025,21-07-2025,Grand Horizon Hotel,WEST,Mumbai,Executive,Family,Booking Portal,Room Only,5,7,59,4138,10,2500,28569,Debit Card,Confirmed,4.3,0.686828
HB1065,03-08-2025,04-11-2025,Urban Nest Hotel,EAST,Bhubaneswar,Standard,Family,Mobile App,Full Board,4,3,93,3604,15,0,24790,Cash,Checked-out,3.8,0.60148
HB1066,15-12-2025,11-03-2026,Golden Sands Hotel,NORTH,Delhi,Deluxe,Family,Website,Breakfast,3,2,86,5192,10,0,12046,UPI,Confirmed,3.8,0.448552
HB1067,29-01-2025,01-04-2025,Golden Sands Hotel,CENTRAL,Indore,Suite,Leisure,Walk-in,Half Board,1,1,62,10657,0,500,12057,Cash,Confirmed,4.4,0.496684
HB1068,12-07-2025,03-09-2025,The Palm Residency,WEST,Mumbai,Deluxe,Leisure,Booking Portal,Half Board,2,7,53,3838,10,0,36779,UPI,Cancelled,2.6,0.649348
HB1069,02-06-2025,12-08-2025,Metro Heights,WEST,Ahmedabad,Deluxe,Couple,Walk-in,Breakfast,2,7,71,5345,10,1000,40974,UPI,Checked-out,3.6,0.779688
HB1070,09-04-2025,29-04-2025,Green Valley Inn,SOUTH,Chennai,Suite,Leisure,Website,Full Board,2,7,20,10429,10,0,83903,Net Banking,Checked-out,4,1.326836
HB1071,19-11-2025,19-02-2026,Pearl Garden Hotel,SOUTH,Kochi,Deluxe,Family,Travel Agent,Room Only,1,3,92,5101,0,0,15303,Net Banking,Cancelled,3.3,0.447636
HB1072,11-10-2025,19-12-2025,Silver Oak Resort,SOUTH,Bengaluru,Executive,Business,Travel Agent,Full Board,1,7,69,8176,20,1000,55886,Credit Card,Checked-out,4.8,1.054632
HB1073,31-10-2025,11-12-2025,Pearl Garden Hotel,EAST,Kolkata,Executive,Leisure,Booking Portal,Room Only,2,2,41,7771,10,0,13988,Credit Card,Cancelled,4,0.487856
HB1074,18-03-2025,19-06-2025,Green Valley Inn,CENTRAL,Indore,Suite,Business,Walk-in,Room Only,2,2,93,6963,0,1000,14926,UPI,Confirmed,4.6,0.547112
HB1075,15-11-2025,13-12-2025,Silver Oak Resort,SOUTH,Kochi,Suite,Business,Mobile App,Room Only,5,3,28,8741,10,0,23601,Debit Card,Checked-in,4.1,0.611212
HB1076,13-06-2025,20-09-2025,Sunrise Palace,EAST,Kolkata,Executive,Business,Booking Portal,Full Board,2,3,99,4230,15,500,19086,Cash,Checked-out,4.3,0.573032
HB1077,28-09-2025,25-01-2026,Green Valley Inn,SOUTH,Hyderabad,Standard,Leisure,Walk-in,Room Only,2,5,119,3228,15,0,13719,Net Banking,Confirmed,3,0.404628
HB1078,27-07-2025,23-08-2025,City Central Hotel,SOUTH,Bengaluru,Executive,Business,Booking Portal,Half Board,2,7,27,7040,15,1500,55988,UPI,Checked-out,3.9,0.983856
HB1079,02-06-2025,04-09-2025,Pearl Garden Hotel,WEST,Ahmedabad,Standard,Business,Walk-in,Breakfast,2,1,94,2965,5,0,3717,UPI,Checked-out,4.1,0.372604
HB1080,05-04-2025,13-05-2025,Silver Oak Resort,SOUTH,Kochi,Deluxe,Leisure,Website,Room Only,3,2,38,6177,0,500,12854,Debit Card,Confirmed,3.6,0.442248
HB1081,30-08-2025,05-12-2025,Mountain View Resort,SOUTH,Chennai,Standard,Leisure,Travel Agent,Half Board,1,3,97,2532,0,500,10796,UPI,Confirmed,5,0.529552
HB1082,19-09-2025,01-12-2025,Green Valley Inn,WEST,Pune,Standard,Business,Booking Portal,Half Board,3,1,73,3679,10,1500,7511,Credit Card,Checked-in,4.4,0.442132
HB1083,24-10-2025,23-12-2025,Golden Sands Hotel,WEST,Ahmedabad,Family,Leisure,Booking Portal,Breakfast,1,4,60,5212,0,2500,25148,UPI,Checked-in,4.3,0.645776
HB1084,11-05-2025,08-06-2025,Metro Heights,WEST,Ahmedabad,Deluxe,Family,Website,Full Board,3,2,28,2995,0,0,13790,Cash,Checked-out,3.7,0.46148
HB1085,01-06-2025,21-07-2025,Green Valley Inn,CENTRAL,Nagpur,Executive,Leisure,Mobile App,Breakfast,3,5,50,5535,10,500,32158,Cash,Cancelled,3.9,0.697896
HB1086,21-12-2025,16-01-2026,Green Valley Inn,SOUTH,Hyderabad,Family,Business,Travel Agent,Breakfast,4,4,26,5219,0,4000,32076,UPI,Confirmed,4.5,0.744912
HB1087,10-05-2025,21-08-2025,Crown Plaza Residency,CENTRAL,Bhopal,Standard,Couple,Mobile App,Breakfast,2,1,103,3448,0,1000,5348,Debit Card,Checked-in,3.7,0.360176
HB1088,16-12-2025,31-03-2026,City Central Hotel,CENTRAL,Nagpur,Standard,Business,Website,Breakfast,2,3,105,2849,10,0,10392,Debit Card,Confirmed,4.2,0.460704
HB1089,26-07-2025,01-08-2025,City Central Hotel,NORTH,Delhi,Executive,Leisure,Booking Portal,Half Board,2,2,6,4944,0,500,13988,UPI,Cancelled,4.4,0.519856
HB1090,05-08-2025,24-09-2025,The Palm Residency,SOUTH,Chennai,Standard,Business,Walk-in,Full Board,3,7,50,2232,5,0,42143,Credit Card,Checked-out,4,0.825716
HB1091,21-09-2025,20-10-2025,Pearl Garden Hotel,NORTH,Jaipur,Standard,Solo,Booking Portal,Room Only,4,3,29,2497,15,2500,8867,Credit Card,Checked-out,5,0.506404
HB1092,22-05-2025,14-07-2025,Grand Horizon Hotel,CENTRAL,Raipur,Standard,Solo,Booking Portal,Breakfast,3,3,53,2393,0,1000,12229,Credit Card,Checked-in,4,0.466748
HB1093,12-05-2025,22-08-2025,Pearl Garden Hotel,CENTRAL,Bhopal,Suite,Family,Booking Portal,Half Board,4,3,102,11328,0,2500,47284,Debit Card,Checked-in,4.8,0.951408
HB1094,12-08-2025,03-12-2025,Metro Heights,SOUTH,Chennai,Executive,Family,Mobile App,Breakfast,1,3,113,6562,10,1500,20567,UPI,Checked-out,3.5,0.526804
HB1095,20-10-2025,07-01-2026,Royal Orchid Suites,EAST,Patna,Deluxe,Business,Mobile App,Breakfast,3,3,79,4865,15,1000,17456,Debit Card,Cancelled,3.6,0.497472
HB1096,21-02-2025,11-06-2025,Blue Bay Resort,CENTRAL,Nagpur,Family,Leisure,Website,Breakfast,4,2,110,6657,0,1000,17914,Credit Card,Checked-out,4.2,0.550968
HB1097,12-03-2025,14-05-2025,Green Valley Inn,SOUTH,Kochi,Standard,Business,Booking Portal,Room Only,3,1,63,2778,5,1500,4139,UPI,Checked-out,4.1,0.377668
HB1098,01-05-2025,12-06-2025,Sunrise Palace,CENTRAL,Nagpur,Suite,Couple,Website,Room Only,2,6,42,7803,15,0,39795,UPI,Checked-out,4,0.79754
HB1099,18-04-2025,25-07-2025,Crown Plaza Residency,SOUTH,Bengaluru,Standard,Family,Mobile App,Breakfast,3,3,98,2103,0,0,10359,Credit Card,Checked-in,3.3,0.388308
HB1100,05-05-2025,13-06-2025,Mountain View Resort,WEST,Mumbai,Standard,Leisure,Travel Agent,Breakfast,1,4,39,2380,15,1000,10892,Debit Card,Checked-in,4.4,0.482704
HB1101,11-03-2025,21-04-2025,Mountain View Resort,CENTRAL,Bhopal,Standard,Family,Travel Agent,Breakfast,2,3,41,3805,0,1000,15115,Debit Card,Checked-in,4.9,0.57338
HB1102,13-10-2025,06-02-2026,The Palm Residency,SOUTH,Bengaluru,Standard,Business,Mobile App,Breakfast,3,1,116,3428,0,1000,5778,Cash,Checked-in,4.5,0.429336
HB1103,24-05-2025,23-06-2025,Mountain View Resort,EAST,Bhubaneswar,Deluxe,Couple,Mobile App,Breakfast,2,2,30,3212,25,2500,9118,UPI,Checked-out,4,0.429416
HB1104,22-05-2025,27-06-2025,Silver Oak Resort,WEST,Pune,Executive,Business,Booking Portal,Half Board,2,2,36,5260,0,2500,16620,UPI,Checked-out,4.9,0.59144
HB1105,08-12-2025,06-02-2026,Mountain View Resort,SOUTH,Kochi,Deluxe,Family,Travel Agent,Full Board,2,5,60,5313,0,1500,41065,Debit Card,Checked-in,4.3,0.83678
HB1106,13-09-2025,23-09-2025,City Central Hotel,SOUTH,Chennai,Deluxe,Business,Booking Portal,Breakfast,2,5,10,5127,20,500,25508,Cash,Checked-out,4.3,0.650096
HB1107,25-01-2025,14-04-2025,Blue Bay Resort,WEST,Mumbai,Deluxe,Leisure,Website,Breakfast,3,7,79,6146,0,500,52972,Credit Card,Checked-out,4.2,0.971664
HB1108,10-05-2025,21-05-2025,Royal Orchid Suites,SOUTH,Bengaluru,Executive,Business,Website,Half Board,3,4,11,5727,0,0,33708,Debit Card,Checked-out,3.8,0.708496
HB1109,09-08-2025,30-09-2025,Metro Heights,SOUTH,Hyderabad,Executive,Family,Website,Room Only,4,3,52,6535,15,500,17164,Credit Card,Checked-out,4.5,0.565968
HB1110,18-08-2025,05-11-2025,Lakeview Grand,EAST,Guwahati,Deluxe,Solo,Website,Room Only,3,3,79,3888,0,1500,13164,Debit Card,Checked-out,2.8,0.381968
HB1111,13-09-2025,07-11-2025,Pearl Garden Hotel,NORTH,Delhi,Standard,Leisure,Website,Breakfast,2,1,55,3593,10,1500,5634,Debit Card,Checked-out,3.8,0.371608
HB1112,07-04-2025,17-04-2025,Crown Plaza Residency,CENTRAL,Bhopal,Standard,Family,Walk-in,Half Board,2,6,10,3801,5,500,32966,Credit Card,Checked-out,4.6,0.763592
HB1113,08-01-2025,26-03-2025,Metro Heights,SOUTH,Chennai,Deluxe,Couple,Website,Full Board,4,1,77,4579,15,0,9092,Debit Card,Confirmed,2.7,0.325104
HB1114,18-09-2025,21-12-2025,Golden Sands Hotel,EAST,Patna,Family,Solo,Booking Portal,Breakfast,1,5,94,6609,5,2500,36143,Debit Card,Checked-out,4.1,0.761716
HB1115,05-08-2025,02-12-2025,Royal Orchid Suites,SOUTH,Chennai,Executive,Business,Website,Room Only,5,1,119,7533,25,1000,6650,Credit Card,Checked-out,4.7,0.4558
HB1116,04-05-2025,01-08-2025,Green Valley Inn,WEST,Ahmedabad,Deluxe,Solo,Website,Breakfast,2,1,89,5306,10,500,6175,Debit Card,Confirmed,4.3,0.4181
HB1117,29-05-2025,06-06-2025,Mountain View Resort,CENTRAL,Indore,Suite,Couple,Walk-in,Room Only,3,4,8,7493,0,0,29972,UPI,Checked-out,4.4,0.711664
HB1118,13-02-2025,01-05-2025,Pearl Garden Hotel,WEST,Pune,Executive,Business,Walk-in,Breakfast,4,2,77,7740,0,0,19080,Credit Card,Confirmed,3.3,0.49296
HB1119,14-04-2025,22-07-2025,Lakeview Grand,EAST,Kolkata,Standard,Leisure,Website,Room Only,4,2,99,2147,10,1500,5365,UPI,Checked-out,3.7,0.36038
HB1120,20-01-2025,05-04-2025,Blue Bay Resort,WEST,Goa,Standard,Couple,Website,Half Board,4,4,75,2991,0,500,26864,Credit Card,Checked-out,3.4,0.594368
HB1121,17-09-2025,16-11-2025,The Palm Residency,WEST,Pune,Standard,Family,Website,Room Only,1,4,60,3209,10,0,11552,Credit Card,Checked-out,5,0.538624
HB1122,01-06-2025,18-09-2025,Mountain View Resort,WEST,Pune,Suite,Leisure,Booking Portal,Breakfast,5,4,109,7654,15,500,35524,Credit Card,Checked-in,5,0.826288
HB1123,09-11-2025,07-03-2026,Urban Nest Hotel,NORTH,Delhi,Standard,Leisure,Website,Half Board,2,3,118,2882,15,0,12749,UPI,Checked-out,3.8,0.456988
HB1124,11-09-2025,07-01-2026,Lakeview Grand,EAST,Patna,Standard,Leisure,Mobile App,Room Only,3,2,118,2308,20,0,3693,Credit Card,Checked-out,4.6,0.412316
HB1125,06-05-2025,17-08-2025,Lakeview Grand,CENTRAL,Bhopal,Deluxe,Leisure,Walk-in,Half Board,4,6,103,4907,0,0,51042,UPI,Checked-in,3.8,0.916504
HB1126,08-08-2025,22-08-2025,Blue Bay Resort,CENTRAL,Bhopal,Standard,Leisure,Website,Room Only,2,2,14,3091,5,1500,7373,Credit Card,Confirmed,3.5,0.368476
HB1127,07-01-2025,18-03-2025,Golden Sands Hotel,EAST,Patna,Standard,Solo,Website,Breakfast,1,5,70,2928,25,1000,14230,Debit Card,Cancelled,3.7,0.46676
HB1128,11-12-2025,06-03-2026,Lakeview Grand,SOUTH,Chennai,Family,Leisure,Booking Portal,Room Only,2,3,85,4956,0,0,14868,UPI,Checked-in,3.7,0.474416
HB1129,27-03-2025,15-05-2025,Grand Horizon Hotel,CENTRAL,Nagpur,Deluxe,Business,Booking Portal,Half Board,1,3,49,4630,0,2500,19090,Credit Card,Checked-out,3.8,0.53308
HB1130,11-07-2025,03-11-2025,Urban Nest Hotel,SOUTH,Chennai,Deluxe,Business,Travel Agent,Half Board,2,4,115,3788,0,1500,23852,Debit Card,Checked-out,5,0.686224
HB1131,26-01-2025,19-05-2025,City Central Hotel,SOUTH,Chennai,Suite,Couple,Website,Breakfast,1,1,113,11151,5,500,11543,Cash,Confirmed,4.8,0.522516
HB1132,13-06-2025,22-09-2025,Lakeview Grand,SOUTH,Hyderabad,Family,Business,Travel Agent,Room Only,4,3,101,6084,20,500,15102,UPI,Confirmed,4.3,0.525224
HB1133,08-08-2025,09-08-2025,Royal Orchid Suites,WEST,Goa,Deluxe,Couple,Walk-in,Room Only,2,1,1,4778,15,0,4061,Cash,Checked-out,4.2,0.384732
HB1134,11-08-2025,09-10-2025,City Central Hotel,SOUTH,Chennai,Deluxe,Business,Booking Portal,Breakfast,1,1,59,4981,10,2500,7433,Cash,Confirmed,3.7,0.385196
HB1135,30-12-2025,17-04-2026,Metro Heights,WEST,Mumbai,Suite,Couple,Travel Agent,Half Board,2,2,108,13493,5,0,29237,Debit Card,Confirmed,4.4,0.702844
HB1136,30-09-2025,08-12-2025,Crown Plaza Residency,SOUTH,Bengaluru,Executive,Business,Travel Agent,Breakfast,4,4,69,5164,10,0,25790,UPI,Checked-in,4,0.62948
HB1137,08-03-2025,12-03-2025,Urban Nest Hotel,NORTH,Chandigarh,Standard,Family,Walk-in,Room Only,2,5,4,2413,0,1500,13565,Credit Card,Checked-out,4.2,0.49878
HB1138,01-04-2025,08-07-2025,The Palm Residency,SOUTH,Chennai,Standard,Couple,Booking Portal,Half Board,2,3,98,3270,5,500,15220,Credit Card,Cancelled,3.9,0.49464
HB1139,24-03-2025,12-07-2025,Grand Horizon Hotel,NORTH,Lucknow,Standard,Couple,Walk-in,Room Only,4,6,110,3168,0,4000,23008,Net Banking,Checked-out,4.5,0.636096
HB1140,16-11-2025,19-12-2025,Blue Bay Resort,SOUTH,Hyderabad,Standard,Family,Travel Agent,Room Only,2,3,33,3125,0,1500,10875,Credit Card,Confirmed,3.7,0.4265
HB1141,03-03-2025,24-06-2025,Royal Orchid Suites,CENTRAL,Raipur,Executive,Family,Booking Portal,Room Only,2,2,113,4937,15,1000,9393,Credit Card,Checked-out,3.8,0.416716
HB1142,08-01-2025,22-02-2025,Pearl Garden Hotel,EAST,Kolkata,Deluxe,Business,Booking Portal,Room Only,1,4,45,5259,5,0,19984,Cash,Checked-in,3.6,0.527808
HB1143,14-12-2025,11-01-2026,Silver Oak Resort,NORTH,Jaipur,Family,Leisure,Booking Portal,Breakfast,4,2,28,8383,0,0,20366,UPI,Checked-out,4.5,0.604392
